rootsid,Outflows,Inflows,NetflowRatio,year,Period
110,184,135,-0.15,1810,1810 - 1819
111,47,48,0.01,1810,1810 - 1819
112,60,91,0.21,1810,1810 - 1819
113,2461,2218,-0.05,1810,1810 - 1819
116,4,6,0.2,1810,1810 - 1819
117,785,1858,0.41,1810,1810 - 1819
118,1654,4624,0.47,1810,1810 - 1819
119,105,142,0.15,1810,1810 - 1819
120,26,21,-0.11,1810,1810 - 1819
121,6000,5195,-0.07,1810,1810 - 1819
122,223,436,0.32,1810,1810 - 1819
123,440,431,-0.01,1810,1810 - 1819
124,1044,480,-0.37,1810,1810 - 1819
125,1577,976,-0.24,1810,1810 - 1819
126,126,208,0.25,1810,1810 - 1819
127,24,27,0.06,1810,1810 - 1819
128,502,1110,0.38,1810,1810 - 1819
129,656,1733,0.45,1810,1810 - 1819
130,47,52,0.05,1810,1810 - 1819
131,13,13,0.0,1810,1810 - 1819
132,2,2,0.0,1810,1810 - 1819
133,635,500,-0.12,1810,1810 - 1819
134,893,509,-0.27,1810,1810 - 1819
135,16,28,0.27,1810,1810 - 1819
136,2939,3679,0.11,1810,1810 - 1819
137,5430,2633,-0.35,1810,1810 - 1819
138,3,3,0.0,1810,1810 - 1819
139,3345,8009,0.41,1810,1810 - 1819
140,84,87,0.02,1810,1810 - 1819
141,49,43,-0.07,1810,1810 - 1819
142,3891,2747,-0.17,1810,1810 - 1819
143,26,29,0.05,1810,1810 - 1819
144,322,212,-0.21,1810,1810 - 1819
145,3328,1582,-0.36,1810,1810 - 1819
146,4,7,0.27,1810,1810 - 1819
147,5191,5962,0.07,1810,1810 - 1819
148,97,132,0.15,1810,1810 - 1819
149,3,2,-0.2,1810,1810 - 1819
150,5,9,0.29,1810,1810 - 1819
151,1424,928,-0.21,1810,1810 - 1819
152,7615,4390,-0.27,1810,1810 - 1819
153,42,50,0.09,1810,1810 - 1819
154,2057,2090,0.01,1810,1810 - 1819
155,32,63,0.33,1810,1810 - 1819
156,3,2,-0.2,1810,1810 - 1819
157,13,9,-0.18,1810,1810 - 1819
158,1,2,0.33,1810,1810 - 1819
101,13,8,-0.24,1960,1960 - 1969
102,2,3,0.2,1960,1960 - 1969
104,9,10,0.05,1960,1960 - 1969
105,10,7,-0.18,1960,1960 - 1969
106,39,58,0.2,1960,1960 - 1969
107,16,13,-0.1,1960,1960 - 1969
109,9,2,-0.64,1960,1960 - 1969
110,2,3,0.2,1960,1960 - 1969
111,12,6,-0.33,1960,1960 - 1969
112,18,29,0.23,1960,1960 - 1969
113,7,17,0.42,1960,1960 - 1969
114,1,1,0.0,1960,1960 - 1969
115,3,2,-0.2,1960,1960 - 1969
116,9,9,0.0,1960,1960 - 1969
117,21,26,0.11,1960,1960 - 1969
118,17,14,-0.1,1960,1960 - 1969
119,9,12,0.14,1960,1960 - 1969
120,14,15,0.03,1960,1960 - 1969
121,13,11,-0.08,1960,1960 - 1969
122,13,10,-0.13,1960,1960 - 1969
123,3,6,0.33,1960,1960 - 1969
124,4,6,0.2,1960,1960 - 1969
125,6,9,0.2,1960,1960 - 1969
126,8,11,0.16,1960,1960 - 1969
127,5,9,0.29,1960,1960 - 1969
128,4,4,0.0,1960,1960 - 1969
129,13,12,-0.04,1960,1960 - 1969
130,4,3,-0.14,1960,1960 - 1969
131,10,8,-0.11,1960,1960 - 1969
132,6,8,0.14,1960,1960 - 1969
133,1,1,0.0,1960,1960 - 1969
134,11,11,0.0,1960,1960 - 1969
135,3,9,0.5,1960,1960 - 1969
136,13,13,0.0,1960,1960 - 1969
137,9,6,-0.2,1960,1960 - 1969
138,1,7,0.75,1960,1960 - 1969
139,16,22,0.16,1960,1960 - 1969
140,17,13,-0.13,1960,1960 - 1969
141,4,6,0.2,1960,1960 - 1969
142,13,11,-0.08,1960,1960 - 1969
143,1,0,-1.0,1960,1960 - 1969
144,2,2,0.0,1960,1960 - 1969
145,2,5,0.43,1960,1960 - 1969
146,2,3,0.2,1960,1960 - 1969
147,11,20,0.29,1960,1960 - 1969
148,40,38,-0.03,1960,1960 - 1969
150,24,14,-0.26,1960,1960 - 1969
151,0,1,1.0,1960,1960 - 1969
152,8,11,0.16,1960,1960 - 1969
153,11,19,0.27,1960,1960 - 1969
154,13,6,-0.37,1960,1960 - 1969
155,8,7,-0.07,1960,1960 - 1969
156,6,3,-0.33,1960,1960 - 1969
101,1289,1036,-0.11,1910,1910 - 1919
102,95,62,-0.21,1910,1910 - 1919
103,1,2,0.33,1910,1910 - 1919
104,463,908,0.32,1910,1910 - 1919
105,2915,2379,-0.1,1910,1910 - 1919
106,1229,2777,0.39,1910,1910 - 1919
107,1552,2141,0.16,1910,1910 - 1919
108,1,0,-1.0,1910,1910 - 1919
109,173,278,0.23,1910,1910 - 1919
110,134,146,0.04,1910,1910 - 1919
111,206,215,0.02,1910,1910 - 1919
112,513,783,0.21,1910,1910 - 1919
113,969,929,-0.02,1910,1910 - 1919
115,25,22,-0.06,1910,1910 - 1919
116,1527,2338,0.21,1910,1910 - 1919
117,2865,2651,-0.04,1910,1910 - 1919
118,2215,2114,-0.02,1910,1910 - 1919
119,2695,2412,-0.06,1910,1910 - 1919
120,3414,2991,-0.07,1910,1910 - 1919
121,2280,1593,-0.18,1910,1910 - 1919
122,736,806,0.05,1910,1910 - 1919
123,191,249,0.13,1910,1910 - 1919
124,404,489,0.1,1910,1910 - 1919
125,542,654,0.09,1910,1910 - 1919
126,1207,1785,0.19,1910,1910 - 1919
127,1428,1832,0.12,1910,1910 - 1919
128,851,576,-0.19,1910,1910 - 1919
129,4403,3147,-0.17,1910,1910 - 1919
130,836,1539,0.3,1910,1910 - 1919
131,1828,1516,-0.09,1910,1910 - 1919
132,231,211,-0.05,1910,1910 - 1919
133,183,245,0.14,1910,1910 - 1919
134,365,516,0.17,1910,1910 - 1919
135,954,1017,0.03,1910,1910 - 1919
136,1049,1183,0.06,1910,1910 - 1919
137,1081,949,-0.07,1910,1910 - 1919
138,1044,1032,-0.01,1910,1910 - 1919
139,2159,2812,0.13,1910,1910 - 1919
140,4907,6158,0.11,1910,1910 - 1919
141,1111,1576,0.17,1910,1910 - 1919
142,1622,1390,-0.08,1910,1910 - 1919
143,8,9,0.06,1910,1910 - 1919
144,126,141,0.06,1910,1910 - 1919
145,488,490,0.0,1910,1910 - 1919
146,1184,1119,-0.03,1910,1910 - 1919
147,1879,1444,-0.13,1910,1910 - 1919
148,4193,3835,-0.04,1910,1910 - 1919
150,1487,1450,-0.01,1910,1910 - 1919
151,169,227,0.15,1910,1910 - 1919
152,1255,1121,-0.06,1910,1910 - 1919
153,1392,1838,0.14,1910,1910 - 1919
154,1421,1267,-0.06,1910,1910 - 1919
155,1044,1113,0.03,1910,1910 - 1919
156,503,734,0.19,1910,1910 - 1919
158,111,104,-0.03,1910,1910 - 1919
101,2095,1601,-0.13,1880,1880 - 1889
102,101,119,0.08,1880,1880 - 1889
104,456,874,0.31,1880,1880 - 1889
105,3059,3795,0.11,1880,1880 - 1889
106,803,1717,0.36,1880,1880 - 1889
107,720,1772,0.42,1880,1880 - 1889
109,301,399,0.14,1880,1880 - 1889
110,199,210,0.03,1880,1880 - 1889
111,108,154,0.18,1880,1880 - 1889
112,355,561,0.22,1880,1880 - 1889
113,1742,1058,-0.24,1880,1880 - 1889
115,20,27,0.15,1880,1880 - 1889
116,766,1995,0.45,1880,1880 - 1889
117,6654,4140,-0.23,1880,1880 - 1889
118,4066,2749,-0.19,1880,1880 - 1889
119,6075,4443,-0.16,1880,1880 - 1889
120,5701,8177,0.18,1880,1880 - 1889
121,2737,1710,-0.23,1880,1880 - 1889
122,616,727,0.08,1880,1880 - 1889
123,292,370,0.12,1880,1880 - 1889
124,461,406,-0.06,1880,1880 - 1889
125,650,1106,0.26,1880,1880 - 1889
126,1619,2524,0.22,1880,1880 - 1889
127,1554,2076,0.14,1880,1880 - 1889
128,1476,785,-0.31,1880,1880 - 1889
129,6388,6223,-0.01,1880,1880 - 1889
130,256,625,0.42,1880,1880 - 1889
131,2564,5392,0.36,1880,1880 - 1889
132,182,132,-0.16,1880,1880 - 1889
133,224,295,0.14,1880,1880 - 1889
134,413,606,0.19,1880,1880 - 1889
135,251,509,0.34,1880,1880 - 1889
136,1817,1639,-0.05,1880,1880 - 1889
137,1107,849,-0.13,1880,1880 - 1889
138,272,996,0.57,1880,1880 - 1889
139,3844,2660,-0.18,1880,1880 - 1889
140,867,3053,0.56,1880,1880 - 1889
141,844,1519,0.29,1880,1880 - 1889
142,2191,1932,-0.06,1880,1880 - 1889
143,3,2,-0.2,1880,1880 - 1889
144,192,254,0.14,1880,1880 - 1889
145,600,404,-0.2,1880,1880 - 1889
146,774,2155,0.47,1880,1880 - 1889
147,2821,1824,-0.21,1880,1880 - 1889
148,3463,5774,0.25,1880,1880 - 1889
150,2561,1540,-0.25,1880,1880 - 1889
151,318,290,-0.05,1880,1880 - 1889
152,1635,1288,-0.12,1880,1880 - 1889
153,552,1904,0.55,1880,1880 - 1889
154,1519,1513,0.0,1880,1880 - 1889
155,1888,1685,-0.06,1880,1880 - 1889
156,246,560,0.39,1880,1880 - 1889
157,0,1,1.0,1880,1880 - 1889
158,327,307,-0.03,1880,1880 - 1889
